retailer,category,rank,product_name,product_url,current_price,original_price,review_count,badges,category_url,product_code,retailer_score,search_score,combined_score,final_rank
The Blue Space,baths,6,Caroma Luna Island Bath,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-luna-island-bath,$417,$615,,,https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.16666666666666666,0.0,0.16666666666666666,6.0
Reece,baths,6,Base Acrylic Bath 1520 x 715 x 380mm White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/base-acrylic-bath-1520-x-715-x-380mm-white-1792823,$285.00,,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.16666666666666666,0.0,0.16666666666666666,6.0
Highgrove Bathrooms,baths,6,ASPEN Freestanding Bath Gloss White 1700mm,https://www.highgrovebathrooms.com.au/product/aspen-freestanding-bath-gloss-white-1700mm/,$1490.00,,,,https://www.highgrovebathrooms.com.au/baths/,AS1700-W,0.16666666666666666,0.0,0.16666666666666666,6.0
Bunnings,baths,6,Mondella Bath Tub Round Acrylic Classico Drop In White,https://www.bunnings.com.au/mondella-bath-tub-round-acrylic-classico-drop-in-white_p0295334,$286.20,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,295334.0,0.16666666666666666,0.0,0.16666666666666666,6.0
MyHomeware,baths,6,ABS 1200/1300/1400/1500/1600/1700mm Oval Bathtub Freestanding Acrylic Gloss White...,https://www.myhomeware.com.au/products/bathtub-freestanding-1200-to-1700mm-gloss-white,$912.00,,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,ABS-Shanty-120-65S,0.16666666666666666,0.0,0.16666666666666666,6.0
The Blue Space,baths,7,Bao Bon 1700mm Back to Corner Bath,https://www.thebluespace.com.au/collections/bathtubs/products/bao-bon-1700mm-back-to-corner-bath,"$1,394","$1,992",,"Free Shipping, In Stock, In Stock SA, In Stock VIC",https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.14285714285714285,0.0,0.14285714285714285,7.0
Reece,baths,7,Posh Solus Freestanding Bath with Overflow 1500 x 700 x 600mm White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/posh-solus-freestanding-bath-with-overflow-1703113,"$1,410.00",,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.14285714285714285,0.0,0.14285714285714285,7.0
Highgrove Bathrooms,baths,7,BATH SCREEN KIT Bath Screen Kit - Single Panel 8mm Glass with Swing Pivot Gunmetal,https://www.highgrovebathrooms.com.au/product/bath-screen-kit-single-panel-8mm-glass-with-swing-pivot-gunmetal/,$259.00,,,,https://www.highgrovebathrooms.com.au/baths/,BS700-GM,0.14285714285714285,0.0,0.14285714285714285,7.0
Bunnings,baths,7,Mondella Square Acrylic Drop In Bath White,https://www.bunnings.com.au/mondella-square-acrylic-drop-in-bath-white_p0295330,$263.94,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,295330.0,0.14285714285714285,0.0,0.14285714285714285,7.0
MyHomeware,baths,7,ABS 1500/1700mm Ellie Bathtub Left / Right Corner Back Acrylic Gloss White NO Ove...,https://www.myhomeware.com.au/products/bathtub-corner-back-gloss-white-left-or-right-corner,"$1,085.00",,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,ABS-Ellie-150-75L,0.14285714285714285,0.0,0.14285714285714285,7.0
The Blue Space,baths,8,Bao Bon 1500mm Back to Corner Bath,https://www.thebluespace.com.au/collections/bathtubs/products/bao-bon-1500mm-back-to-corner-bath,"$1,379","$1,970",,"Free Shipping, In Stock, In Stock QLD, In Stock SA, In Stock VIC",https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.125,0.0,0.125,8.0
Reece,baths,8,Posh Solus Back To Corner Freestanding Bath 1700mm Left Corner White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/posh-solus-back-to-corner-freestanding-bath-1708912,"$2,070.00",,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.125,0.0,0.125,8.0
Highgrove Bathrooms,baths,8,ESSENCE Freestanding Corner Bath RHS with Overflow Gloss White 1500mm,https://www.highgrovebathrooms.com.au/product/essence-freestanding-corner-bath-rhs-with-overflow-gloss-white-1500mm/,$1290.00,,,,https://www.highgrovebathrooms.com.au/baths/,ESS1500R-W,0.125,0.0,0.125,8.0
Bunnings,baths,8,Caroma 1675mm Maxton Bath,https://www.bunnings.com.au/caroma-1675mm-maxton-bath_p4890005,$477,,(2),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,4890005.0,0.125,0.0,0.125,8.0
MyHomeware,baths,8,Macho&Infinity 1500/1700mm Aurora Bathtub Freestanding Acrylic Gloss White NO Overflow,https://www.myhomeware.com.au/products/bathtub-freestanding-1500-1700mm-aurora-gloss-white,"$1,139.00",,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,MH-AUR1500,0.125,0.0,0.125,8.0
The Blue Space,baths,9,Caroma Stirling Steel Bath,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-stirling-steel-bath,$660,$947,,"In Stock, In Stock VIC",https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.1111111111111111,0.0,0.1111111111111111,9.0
Reece,baths,9,Posh Solus MK2 Bath 1675 x 755mm White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/posh-solus-mk2-bath-1675-x-755mm-white-1789753,$473.00,,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.1111111111111111,0.0,0.1111111111111111,9.0
Highgrove Bathrooms,baths,9,ROSÉ Bath Caddy White Oak,https://www.highgrovebathrooms.com.au/product/rose-bath-caddy-white-oak/,$169.00,,,,https://www.highgrovebathrooms.com.au/baths/,BC-01,0.1111111111111111,0.0,0.1111111111111111,9.0
Bunnings,baths,9,Shaw & Mason Chrome Bath Spout With Diverter And Shower Kit,https://www.bunnings.com.au/shaw-mason-chrome-bath-spout-with-diverter-and-shower-kit_p0612661,$45,,(3),,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,612661.0,0.1111111111111111,0.0,0.1111111111111111,9.0
MyHomeware,baths,9,Unicasa 1500/1700mm Ultra-Slim Bathtub Back to Wall Gloss White Acrylic with Overflow,https://www.myhomeware.com.au/products/acrylic-ultra-slim-back-to-wall-bathtub-gloss-white,"$1,334.00",,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,UN-BU-1500-W,0.1111111111111111,0.0,0.1111111111111111,9.0
The Blue Space,baths,10,Bao Elegant 1500mm Back to Corner Bath,https://www.thebluespace.com.au/collections/bathtubs/products/bao-elegant-1500mm-back-to-corner-bath,"$1,850","$2,466",,"Free Shipping, In Stock, In Stock QLD, In Stock VIC",https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.1,0.0,0.1,10.0
Reece,baths,10,Posh Solus Freestanding Bath 1780 x 800 x 560mm White No Overflow,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/posh-solus-freestanding-bath-1780-x-800-x-560mm-9504385,"$1,460.00",,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.1,0.0,0.1,10.0
Highgrove Bathrooms,baths,10,LILY Bath Caddy White Oak,https://www.highgrovebathrooms.com.au/product/lily-bath-caddy-white-oak/,$129.00,,,,https://www.highgrovebathrooms.com.au/baths/,BC-03,0.1,0.0,0.1,10.0
Bunnings,baths,10,Caroma White Luna Back to Wall Bath,https://www.bunnings.com.au/caroma-white-luna-back-to-wall-bath_p0186577,$1328,,(2),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,186577.0,0.1,0.0,0.1,10.0
MyHomeware,baths,10,Poseidon 1400/1500/1700mm Theo Bathtub Multi fit Corner Back to Wall Freestanding Acry...,https://www.myhomeware.com.au/products/matt-white-multi-fit-freestanding-back-to-wall-corner-bathtub-thbt,"$1,508.00",,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,CE-THBT1400MW,0.1,0.0,0.1,10.0
The Blue Space,baths,11,Caroma Luna Four Tile Flange Bath,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-luna-four-tile-flange-bath,$504,$615,,,https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.09090909090909091,0.0,0.09090909090909091,11.0
Reece,baths,11,Base Acrylic Inset Bath 1520 x 715 x 380mm with Overflow Chrome,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/base-acrylic-inset-bath-1520-x-715-x-380mm-1704234,$367.00,,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.09090909090909091,0.0,0.09090909090909091,11.0
Highgrove Bathrooms,baths,11,GLENROWAN Bath Caddy Marri Timber,https://www.highgrovebathrooms.com.au/product/glenrowan-bath-caddy-marri-timber/,$63.00,$159.00,,SALE,https://www.highgrovebathrooms.com.au/baths/,BC-04,0.09090909090909091,0.0,0.09090909090909091,11.0
Bunnings,baths,11,3pcs Cute Cat Bathtub Contemporary Style Print 100% Australian Made 3 x 40x60cm (Metal Print),https://www.bunnings.com.au/3pcs-cute-cat-bathtub-contemporary-style-print-100-australian-made-3-x-40x60cm-metal-print-_p0884388,$99,,(0),Marketplace,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,884388.0,0.09090909090909091,0.0,0.09090909090909091,11.0
MyHomeware,baths,11,Poseidon-CETO 1500/1700mm Ceto Fluted Back to Wall Oval Bathtub NO Overflow Variant Colour ...,https://www.myhomeware.com.au/products/1500-1700mm-freestanding-back-to-wall-bathtub-no-overflow-variant-color,"$1,808.00",,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,PD-BGV1500GW,0.09090909090909091,0.0,0.09090909090909091,11.0
The Blue Space,baths,12,Bao Fluted 1500mm Back to Corner Bath - Matte White,https://www.thebluespace.com.au/collections/bathtubs/products/bao-fluted-1500mm-back-to-corner-bath-matte-white-1,"$1,804","$2,577",,"Free Shipping, In Stock, In Stock QLD, In Stock VIC",https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.08333333333333333,0.0,0.08333333333333333,12.0
Reece,baths,12,Posh Solus Back To Corner Freestanding Bath 1700mm Right Corner White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/posh-solus-back-to-corner-freestanding-bath-1708913,"$2,070.00",,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.08333333333333333,0.0,0.08333333333333333,12.0
Highgrove Bathrooms,baths,12,FELINO Drop In Bath with Overflow Gloss White 1790mm,https://www.highgrovebathrooms.com.au/product/felino-drop-in-bath-with-overflow-gloss-white-1790mm/,$499.00,,,,https://www.highgrovebathrooms.com.au/baths/,FEL1788-W,0.08333333333333333,0.0,0.08333333333333333,12.0
Bunnings,baths,12,Caroma 1500mm White Classic Bath,https://www.bunnings.com.au/caroma-1500mm-white-classic-bath_p5135161,$602.59,,(2),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,5135161.0,0.08333333333333333,0.0,0.08333333333333333,12.0
MyHomeware,baths,12,ABS 1500/1700mm Roma Back to Wall Bathtub Acrylic NO Overflow Variant Colour Avai...,https://www.myhomeware.com.au/products/roma-1500-1700mm-back-to-wall-bathtub-variant-color,"$1,350.00",,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,ABS-Roma-BTW-150-GW,0.08333333333333333,0.0,0.08333333333333333,12.0
The Blue Space,drainage,1,ART Australia Bermuda Standard Floor Waste Tile Insert Chrome,https://www.thebluespace.com.au/collections/floor-wastes/products/bounty-art-australia-standard-floor-waste-tile-insert,$77,$85,,,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,1.0,0.0,1.0,1.0
Reece,drainage,1,Stubby Floor Grate Brass Round Slotted Chrome 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/stubby-floor-grate-brass-round-slotted-chrome-203476,$54.84,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,1.0,0.0,1.0,1.0
Bunnings,drainage,1,Kinetic 100mm Chrome Brass Square Floor Grate,https://www.bunnings.com.au/kinetic-100mm-chrome-brass-square-floor-grate_p5080006,$23.62,,(10),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,5080006.0,1.0,0.0,1.0,1.0
MyHomeware,drainage,1,Macho 115mm Brass Floor Waste 73.8/90/100mm Outlet Smart Tile Insert Variant Colour...,https://www.myhomeware.com.au/products/115mm-floor-waste-drain-brass-smart-tile-insert-square-variant-color,$25.00,$42.00,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,FD006,1.0,0.0,1.0,1.0
The Blue Space,drainage,2,Meir Square Floor Grate Shower Drain 100mm Outlet - Gold,https://www.thebluespace.com.au/collections/floor-wastes/products/meir-square-floor-grate-shower-drain-100mm-outlet-gold,$83,$99,,Free Shipping,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.5,0.0,0.5,2.0
Reece,drainage,2,Stubby Floor Grate Brass Square Slotted Chrome 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/stubby-floor-grate-brass-square-slotted-chrome-203488,$58.88,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.5,0.0,0.5,2.0
Bunnings,drainage,2,Forme 110 x 110mm What-A-Waste Floor Drain Tile Insert,https://www.bunnings.com.au/forme-110-x-110mm-what-a-waste-floor-drain-tile-insert_p5003374,$40.07,,(4),Special Order,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,5003374.0,0.5,0.0,0.5,2.0
MyHomeware,drainage,2,Macho 118/120mm Floor Waste Drain Smart Tile Insert Stainless Steel 80mm Outlet Var...,https://www.myhomeware.com.au/products/floor-waste-drain-stainless-steel-smart-tile-insert-variant-color,$19.00,$32.00,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,FD003B,0.5,0.0,0.5,2.0
The Blue Space,drainage,3,ART Australia 316 Stainless Steel Square Waste 100mm,https://www.thebluespace.com.au/collections/floor-wastes/products/art-australia-316-stainless-steel-square-waste-100mm,$49,$62,,,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.3333333333333333,0.0,0.3333333333333333,3.0
Reece,drainage,3,Floor Grate Tapered Brass Square Chrome 100mm x 86mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/floor-grate-tapered-brass-square-chrome-100mm-x-1409454,$93.70,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.3333333333333333,0.0,0.3333333333333333,3.0
Bunnings,drainage,3,Brasshards 80 x 50mm White Hexagonal Cup DWV Floor Waste,https://www.bunnings.com.au/brasshards-80-x-50mm-white-hexagonal-cup-dwv-floor-waste_p0351491,$7.05,,(1),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,351491.0,0.3333333333333333,0.0,0.3333333333333333,3.0
MyHomeware,drainage,3,Lauxes G#2(Gold) 100-5600mm Lauxes Shower Grate Drain Aluminium Matte Gold Slimline ...,https://www.myhomeware.com.au/products/aluminium-shower-grate-slimline-tile-insert-26-matt-gold,$32.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,MYGSTI-01+MYGEC26-100,0.3333333333333333,0.0,0.3333333333333333,3.0
The Blue Space,drainage,4,Meir Square Floor Grate Shower Drain 80mm Outlet - Gold,https://www.thebluespace.com.au/collections/floor-wastes/products/meir-square-floor-grate-shower-drain-80mm-outlet-gold,$66,$79,,Free Shipping,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.25,0.0,0.25,4.0
Reece,drainage,4,Shwr Waste Adjustable Floor Grate ABS Round White 100mm x 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/shwr-waste-adjustable-floor-grate-abs-round-1409946,$60.65,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.25,0.0,0.25,4.0
Bunnings,drainage,4,Kinetic 100mm Chrome Plated Round Floor Grate,https://www.bunnings.com.au/kinetic-100mm-chrome-plated-round-floor-grate_p5080007,$24.04,,(6),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,5080007.0,0.25,0.0,0.25,4.0
MyHomeware,drainage,4,Macho 110x110mm Square Brass Floor Waste Outlet 100mm Drain Variant Colour Available,https://www.myhomeware.com.au/products/110mm-floor-waste-drain-brass-square-variant-color,$19.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,FD004B,0.25,0.0,0.25,4.0
The Blue Space,drainage,5,Radiant Tile Insert Linear Shower Grate - Brushed Satin,https://www.thebluespace.com.au/collections/floor-wastes/products/radiant-tile-insert-linear-shower-grate-316-stainless,$212,$265,,,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.2,0.0,0.2,5.0
Reece,drainage,5,Stubby Floor Grate Plastic Round White 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/stubby-floor-grate-plastic-round-white-100mm-203453,$9.65,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.2,0.0,0.2,5.0
Bunnings,drainage,5,Holman 100mm DWV PVC Octagon Floor Grate,https://www.bunnings.com.au/holman-100mm-dwv-pvc-octagon-floor-grate_p4740004,$13.42,,(1),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,4740004.0,0.2,0.0,0.2,5.0
MyHomeware,drainage,5,Fienza Fienza 110mm Round Floor Waste Round Grate 100mm Outlet,https://www.myhomeware.com.au/products/round-floor-waste-100mm-outlet,$17.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,FN-D307,0.2,0.0,0.2,5.0
The Blue Space,drainage,6,Meir Square Floor Grate Shower Drain 100mm Outlet - Brushed Nickel,https://www.thebluespace.com.au/collections/floor-wastes/products/meir-square-floor-grate-shower-drain-100mm-outlet-brushed-nickel,$79,$99,,"Free Shipping, In Stock",https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.16666666666666666,0.0,0.16666666666666666,6.0
Reece,drainage,6,Stubby Floor Grate Stainless Steel Round 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/stubby-floor-grate-stainless-steel-round-100mm-203469,$28.96,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.16666666666666666,0.0,0.16666666666666666,6.0
Bunnings,drainage,6,Holman 80 x 65mm Floor Waste Gully,https://www.bunnings.com.au/holman-80-x-65mm-floor-waste-gully_p4770364,$22.05,,(0),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,4770364.0,0.16666666666666666,0.0,0.16666666666666666,6.0
MyHomeware,drainage,6,Lauxes 100-5600mm Lauxes Black Shower Grate Drain Any Size Indoor Aluminium Midnight...,https://www.myhomeware.com.au/products/aluminium-shower-grate-slimline-tile-insert-26-black,$25.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,LCMSTIG-01+LCFG-C100SB,0.16666666666666666,0.0,0.16666666666666666,6.0
The Blue Space,drainage,7,Meir Square Floor Grate Shower Drain 80mm Outlet - Matte Black,https://www.thebluespace.com.au/collections/floor-wastes/products/meir-square-floor-grate-shower-drain-80mm-outlet-matte-black,$49,$59,,Free Shipping,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.14285714285714285,0.0,0.14285714285714285,7.0
Reece,drainage,7,Stubby Floor Grate Stainless Steel Square 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/stubby-floor-grate-stainless-steel-square-203473,$32.55,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.14285714285714285,0.0,0.14285714285714285,7.0
Bunnings,drainage,7,Holman 100mm DWV PVC Round Floor Grate,https://www.bunnings.com.au/holman-100mm-dwv-pvc-round-floor-grate_p4740005,$12.76,,(3),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,4740005.0,0.14285714285714285,0.0,0.14285714285714285,7.0
MyHomeware,drainage,7,Lauxes Lauxes Aluminium Shower Grate Waste Silver 40/50/72/80mm,https://www.myhomeware.com.au/products/lauxes-aluminium-shower-grate-waste-silver,$16.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,WO-40,0.14285714285714285,0.0,0.14285714285714285,7.0
The Blue Space,drainage,8,Radiant Tile Insert Linear Shower Grate Brushed Gold,https://www.thebluespace.com.au/collections/floor-wastes/products/radiant-tile-insert-linear-shower-grate-brushed-gold,$304,$380,,,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.125,0.0,0.125,8.0
Reece,drainage,8,Floor Grate Tapered Brass Round Chrome 100mm x 86mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/floor-grate-tapered-brass-round-chrome-100mm-x-1409448,$81.80,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.125,0.0,0.125,8.0
Bunnings,drainage,8,Kinetic 80mm Chrome Plated Square Floor Grate,https://www.bunnings.com.au/kinetic-80mm-chrome-plated-square-floor-grate_p5080004,$20.38,,(2),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,5080004.0,0.125,0.0,0.125,8.0
MyHomeware,drainage,8,Lauxes 100-3000mm Lauxes Shower Grate Drain Aluminium Next Generation 14 Any Size In...,https://www.myhomeware.com.au/products/aluminium-floor-grate-next-generation-14-2000mm-silver,$21.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,LCFGN14-01+LCFG-C100-14,0.125,0.0,0.125,8.0
The Blue Space,drainage,9,ART Australia Bermuda Standard Floor Waste Tile Insert Brushed Nickel,https://www.thebluespace.com.au/collections/floor-wastes/products/art-australia-bermuda-standard-floor-waste-tile-insert-brushed-nickel,$123,$164,,,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.1111111111111111,0.0,0.1111111111111111,9.0
Reece,drainage,9,Floor Grate Adjustable White Round 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/floor-grate-adjustable-white-round-100mm-1409461,$14.74,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.1111111111111111,0.0,0.1111111111111111,9.0
Bunnings,drainage,9,Holman 100mm x 65 mm DWV PVC Floor Waste Gully,https://www.bunnings.com.au/holman-100mm-x-65-mm-dwv-pvc-floor-waste-gully_p4750175,$27.51,,(1),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,4750175.0,0.1111111111111111,0.0,0.1111111111111111,9.0
MyHomeware,drainage,9,Lauxes 100-3000x100x21mm Lauxes Aluminium Slimline Tile Insert Shower Pool Drain Mid...,https://www.myhomeware.com.au/products/aluminium-shower-grate-slimline-tile-insert-21-black,$26.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,MSTI21-01+MEC21-100,0.1111111111111111,0.0,0.1111111111111111,9.0
The Blue Space,drainage,10,Radiant Tile Insert Square Floor Waste - Brushed Satin,https://www.thebluespace.com.au/collections/floor-wastes/products/radiant-tile-insert-square-shower-grate-316-stainless,$69,$90,,,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.1,0.0,0.1,10.0
Reece,drainage,10,Floor Grate Solvent Weld White Octagonal 100mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/floor-grate-solvent-weld-white-octagonal-100mm-1409463,$10.20,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.1,0.0,0.1,10.0
Bunnings,drainage,10,Mondella Rumba 900mm Stainless Steel Tile Insert Floor Waste,https://www.bunnings.com.au/mondella-rumba-900mm-stainless-steel-tile-insert-floor-waste_p5003576,$117,,(3),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,5003576.0,0.1,0.0,0.1,10.0
MyHomeware,drainage,10,Lamex 115mm Smart Tile Insert Floor Waste Shower Grate Drain 88mm Outlet Variant Co...,https://www.myhomeware.com.au/products/floor-waste-square-brass-smart-tile-insert-variant-color,$40.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,LM-TI-GM115,0.1,0.0,0.1,10.0
The Blue Space,drainage,11,Radiant Tile Insert Linear Shower Grate Matt Black,https://www.thebluespace.com.au/collections/floor-wastes/products/radiant-tile-insert-linear-shower-grate-matt-black,$316,$400,,In Stock,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.09090909090909091,0.0,0.09090909090909091,11.0
Reece,drainage,11,Floor Grate ABS Round Stainless Steel 50mm,https://www.reece.com.au/product/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916/floor-grate-abs-round-stainless-steel-50mm-1409676,$28.64,,,,https://www.reece.com.au/search/plumbing-c544079/pipe-fittings-c543687/traps-wastes-grates-c544032/grates-c601916?sortBy=POPULARITY,,0.09090909090909091,0.0,0.09090909090909091,11.0
Bunnings,drainage,11,Brasshards 50mm White All Purpose DWV Floor Waste,https://www.bunnings.com.au/brasshards-50mm-white-all-purpose-dwv-floor-waste_p0351640,$5.40,,(0),,https://www.bunnings.com.au/search/products?q=floor+waste&sort=BoostOrder&page=1,351640.0,0.09090909090909091,0.0,0.09090909090909091,11.0
MyHomeware,drainage,11,Fienza Fienza Round Floor Waste Round Grate 75mm Outlet,https://www.myhomeware.com.au/products/round-floor-waste-80mm-outlet,$17.00,,,,https://www.myhomeware.com.au/collections/bathroom-wastes-drains?sort_by=best-selling,FN-D309,0.09090909090909091,0.0,0.09090909090909091,11.0
The Blue Space,drainage,12,ART Australia Bermuda Standard Floor Waste Tile Insert Brushed Gold,https://www.thebluespace.com.au/collections/floor-wastes/products/art-australia-bermuda-standard-floor-waste-tile-insert-brushed-gold,$142,$173,,,https://www.thebluespace.com.au/collections/floor-wastes?sort_by=best-selling,,0.08333333333333333,0.0,0.08333333333333333,12.0
