"name","restaurant_name","identifier","price_usd"
"YOO HOO BOTTLE","ZARA'S DELI","GRUBHUB, SELDEN, NY",2.29
"YOO HOO CAN","ZARA'S DELI","GRUBHUB, SELDEN, NY",1.5
"YOO HOO CHOCOLATE BAR","ROCKET FIZZ SODA POP & CANDY SHOP","GRUBHUB, LOS ANGELES, CA",4.99
"YOO HOO CHOCOLATE DRINK 16 OZ.","BEDFORD AVENUE FOOD","SEAMLESS, BROOKLYN, NY",2.99
"YOO HOO CHOCOLATE DRINK 16 OZ.","GREENPOINT DELI INC","SEAMLESS, BROOKLYN, NY",2.75
"YOO HOO CHOCOLATE MILK 15.5 OZ","CHEVRON","2402 E WASHINGTON ST, UBEREATS, PHOENIX, AZ",2.19
"YOO HOO CHOCOLATE MILK 15.5 OZ","CHEVRON EXTRAMILE","4000 SOUTH FIGUEROA, UBEREATS, LOS ANGELES, CA",2.19
"YOO HOO CHOCOLATE MILK 15.5 OZ","CHEVRON EXTRAMILE","525 W WASHINGTON BLVD, UBEREATS, LOS ANGELES, CA",2.19
"YOO HOO CHOCOLATE MILK 15.5 OZ","CHEVRON EXTRAMILE (525 W WASHINGTON BLVD)","UBEREATS, LOS ANGELES, CA",2.19
"YOO HOO GLASS BOTTLE","BAGELS YOUR WAY CAFE","MEDFORD, NY",3
"YOO- HOO","PORTOBELLO","STATEN ISLAND, NY",1.5
"YOO-HOO","A NO 1 PIZZA","SEAMLESS, NEW ROCHELLE, NY",2
"YOO-HOO","BAGEL HOST TOO","GRUBHUB, SUNRISE, FL",1.6
"YOO-HOO","BAGELS UNLIMITED","GRUBHUB, GAINESVILLE, FL",2.38
"YOO-HOO","BARCELONA CAFE","NEW ROCHELLE, NY",1.75
"YOO-HOO","BIAGIO’S 2 PIZZA AND PASTA","WAYNE, NJ",2.25
"YOO-HOO","BLACK CAT ALE HOUSE","COHOES, NY",1.5
"YOO-HOO","BOCCONCINI'S DELI & PIZZA","SEAMLESS, FARMINGDALE, NY",2.25
"YOO-HOO","CERBONE OF NAPLES RESTAURANT AND PIZZA","WHITE PLAINS, NY",2.25
"YOO-HOO","CHELSEA FINEST DELI","NEW YORK, NY",2.25
"YOO-HOO","CHERRYWOOD DELI","WANTAGH, NY",2.25
"YOO-HOO","CHUG'S","MIAMI, FL",2.5
"YOO-HOO","DAILY BAGEL","GRUBHUB, CORTLANDT, NY",2.25
"YOO-HOO","DP DOUGH","TROY, NY",1.85
"YOO-HOO","EMMA'S DELI","DEER PARK, NY",2.5
"YOO-HOO","GIMME 2","HUNTINGTON STATION, NY",2
"YOO-HOO","KICKBACKS GASTROPUB/GOOZLEPIPE & GUTTYWORKS","GRUBHUB, JACKSONVILLE, FL",2.49
"YOO-HOO","LIVING BREAD DINER","BROOKLYN, NY",2
"YOO-HOO","MAPLE AVENUE COUNTRY DELI","GRUBHUB, CORTLANDT, NY",2.25
"YOO-HOO","MIKE'S PIZZA OF FAIRFIELD","GRUBHUB, FAIRFIELD, CT",2.5
"YOO-HOO","NEW YORKS BIG APPLE DELI INCORPORATED","GRUBHUB, NORTH MIAMI BEACH, FL",2.5
"YOO-HOO","NICKY'S PIZZA & HEROES SHOP","GRUBHUB, SUFFERN, NY",2
"YOO-HOO","NICKY's PIZZA & HEROES SHOP","22 NEW YORK 59, DOORDASH, SUFFERN, NY",2
"YOO-HOO","PALO ALTO CREAMERY","GRUBHUB, PALO ALTO, CA",2.95
"YOO-HOO","SABBA'S CHICKEN","SEAMLESS, BRONX, NY",2.25
"YOO-HOO","SACHEM DELICATESSEN AND RESTAURANT","GRUBHUB, RONKONKOMA, NY",2.5
"YOO-HOO","SUNSET BAGELS CAFE AND GRILL","SEAMLESS, BROOKLYN, NY",3
"YOO-HOO","TAINOS BAKERY & DELI","LAKE UNDERHILL, UBEREATS, ORLANDO, FL",2.07
"YOO-HOO","TORNATORE'S PIZZERIA CP","GRUBHUB, ORLANDO, FL",1
"YOO-HOO","TURIELLO's PIZZA HOUSE & RESTAURANT","76 MAIN STREET, DOORDASH, NYACK, NY",2.5
"YOO-HOO","WHAT A BAGEL","WHITE PLAINS, NY",2
"YOO-HOO (CAN)","ROMA PIZZERIA","98 NORTH AVENUE, DOORDASH, GARWOOD, NJ",0.95
"YOO-HOO - REGULAR","CORTINA'S ITALIAN MARKET","ANAHEIM, CA",2
"YOO-HOO - REGULAR","CORTINA'S ORANGE","ORANGE, CA",2
"YOO-HOO BOTTLE","BLVD BAGELS","GRUBHUB, NESCONSET, NY",2.99
"YOO-HOO BOTTLE","LONG ISLAND BAGEL CAFE - GLEN COVE","GLEN COVE, NY",3.25
"YOO-HOO CHOCOLATE","TD BEER & CHINESE FOOD","GRUBHUB, PHILADELPHIA, PA",2.25
"YOO-HOO CHOCOLATE (GLASS BOTTLE)","KING EXPRESS DELI & GROCERY","SEAMLESS, BROOKLYN, NY",2.75
"YOO-HOO CHOCOLATE CAN","KING EXPRESS DELI & GROCERY","SEAMLESS, BROOKLYN, NY",1.75
"YOO-HOO CHOCOLATE DRINK","1 UP BISTRO","SEAMLESS, NEW YORK, NY",2.25
"YOO-HOO CHOCOLATE DRINK","BASE LIQUOR","GRUBHUB, SAN DIEGO, CA",1.59
"YOO-HOO CHOCOLATE DRINK","CITY LIMIT SPORT","UBEREATS, CHICAGO, IL",1.99
"YOO-HOO CHOCOLATE DRINK","PRESTIGE SNACKS","UBEREATS, HOUSTON, TX",1.99
"YOO-HOO CHOCOLATE DRINK","SCOTT'S GENERATIONS RESTAURANT & DELICATESSEN","GRUBHUB, PHOENIX, AZ",3.5
"YOO-HOO CHOCOLATE DRINK","SMR CHEVRON","GRUBHUB, SPRING VALLEY, CA",1.59
"YOO-HOO CHOCOLATE DRINK - 6.5 OZ X 3 PACK","WALGREENS (2612 SMITH ST)","UBEREATS, HOUSTON, TX",1.05
"YOO-HOO CHOCOLATE DRINK 15.5 OZ.","GROVE MARKET","GRUBHUB, LEMON GROVE, CA",1.59
"YOO-HOO CHOCOLATE DRINK 16 OZ.","ANTIDOTE","GRUBHUB, RESEDA, CA",2.25
"YOO-HOO CHOCOLATE MILK","CHERRY BLOSSOM BAKERY","SAN FRANCISCO, CA",1.75
"YOO-HOO CHOCOLATE MILK","FOUR WAY DELI & GROCERY","SEAMLESS, NEW YORK, NY",2.75
"YOO-HOO CHOCOLATE MILK","PERISTA CAFE","SEAMLESS, NEW YORK, NY",2.75
"YOO-HOO CHOCOLATE MILK (15.5 OZ)","CHEVRON","5035 W. MCDOWELL RD., UBEREATS, PHOENIX, AZ",2.19
"YOO-HOO CHOCOLATE MILK (15.5 OZ)","CHEVRON (3501 W CAMELBACK RD)","UBEREATS, PHOENIX, AZ",2.19
"YOO-HOO DRINK","COFFEED PORT WASHINGTON","PORT WASHINGTON, NY",2
"YOO-HOO SODA","CATSKILL MOUNTAIN COUNTRY STORE","WINDHAM, NY",2.5
"YOO-HOO.","TAINOS BAKERY & DELI","LAKE UNDERHILL, UBEREATS, ORLANDO, FL",2.07
"YOO-HOO..","TAINOS BAKERY & DELI","LAKE UNDERHILL, UBEREATS, ORLANDO, FL",2.07
"YOO-SAN SEUL","CHOONG HWA WOON","ANNANDALE, VA",20.99
"YOO-SAN-SEUL","J. S. LUAN'S CHOPSTICKS","GRUBHUB, TULSA, OK",21.5
"YOO-SAN-SEUL BAP","CHOONG HWA WOON","ANNANDALE, VA",13.99
"YOOHOO","24/7 GOURMET DELI","BRONX, NY",1
"YOOHOO","24/7 GROCERY DELI","BRONX, NY",1
"YOOHOO","A.R.E.A. BAGELS","BROOKLYN, NY",1.99
"YOOHOO","ALFREDO'S PIZZA","CARTERET, NJ",1.5
"YOOHOO","ALFREDO's PIZZERIA & ITALIAN RESTAURANT","55 WASHINGTON AVENUE, DOORDASH, CARTERET, NJ",1.65
"YOOHOO","BAGEL BOSS CAFE OF MANHATTAN","NEW YORK, NY",2.5
"YOOHOO","BAGEL TOWN CAFE","MERRICK, NY",2.15
"YOOHOO","BAGELS AND CAKES","BAYSIDE, NY",1.5
"YOOHOO","BAGELS DELOX","SAYVILLE, NY",1.75
"YOOHOO","BORDERLINE BAGELS","UBEREATS, 49 LAROCHE AVE, HARRINGTON PARK, NEW JERSEY",2.25
"YOOHOO","CACCIATORI PIZZERIA","GRUBHUB, MAHOPAC, NY",2.25
"YOOHOO","CAFE BONJOUR DELI & PIZZA","NEW YORK, NY",2.95
"YOOHOO","CAFÉ BONJOUR","NEW YORK, NY",2.95
"YOOHOO","CAPRICCIO II PIZZA & PASTA","GRUBHUB, CROTON-ON-HUDSON, NY",2.25
"YOOHOO","CARVAL PIZZERIA","NEW YORK, NY",1.75
"YOOHOO","CASTOR PIZZA","GRUBHUB, PHILADELPHIA, PA",2.05
"YOOHOO","CHAMPS GOURMET DELI","NEW YORK, NY",2.25
"YOOHOO","CHICAGO BAGEL & BIALY DELI","WHEELING, IL",2.29
"YOOHOO","CHUTZPAH","GRUBHUB, FAIRFAX, VA",2.5
"YOOHOO","CIRO'S ITALIAN DELI & RESTAURANT","GRUBHUB, DAVIE, FL",2.25
"YOOHOO","COUNTRY PARK SANDWICH SHOPPE","WESTBURY, NY",1.95
"YOOHOO","FARMER IN THE DELI 2","SEAMLESS, BROOKLYN, NY",2.5
"YOOHOO","FRESHDAY DELI","NEW YORK, NY",2.25
"YOOHOO","GREENBLATT'S DELICATESSEN","WEST HOLLYWOOD, CA",3.25
"YOOHOO","HILLTOP CARRYOUT","GRUBHUB, BALTIMORE, MD",1.6
"YOOHOO","HOME DOGGS","YONKERS, NY",1.5
"YOOHOO","LA PIAZZETTA CAFE","SEAMLESS, PLAINVIEW, NY",3
"YOOHOO","LA PIAZZETTA II","SEAMLESS, EAST MEADOW, NY",3
"YOOHOO","LATINO FUSION BY RICE N BEANS","GRUBHUB, BETHLEHEM, PA",1.99
"YOOHOO","LOUE's PLACE PIZZA","185 HIGH STREET, DOORDASH, NUTLEY, NJ",1.5
"YOOHOO","MIKE'S PIZZA OF FAIRFIELD","GRUBHUB, FAIRFIELD, CT",2.5
"YOOHOO","MY BROTHER'S DELI & BAGELS","SEAMLESS, STATEN ISLAND, NY",2.5
"YOOHOO","MY COUSIN VINNY'S CAFE","STATEN ISLAND, NY",1.75
"YOOHOO","ORIGINAL KASPER'S HOT DOGS","NORTHPORT, NY",1.84
"YOOHOO","PIZZA STOP","340 HAMILTON BOULEVARD, DOORDASH, SOUTH PLAINFIELD, NJ",1.95
"YOOHOO","PRINCESS DELI AND CATERERS","COMMACK, NY",1.09
"YOOHOO","PRINCETON PI & FROYO CAFE","84 NASSAU STREET, DOORDASH, PRINCETON, NJ",3
"YOOHOO","RICE N BEANS TO GO","GRUBHUB, BETHLEHEM, PA",1.95
"YOOHOO","RICE N' BEANS","GRUBHUB, NAZARETH, PA",1.95
"YOOHOO","RYE RIDGE DELI - STAMFORD","UBEREATS, STAMFORD, CONNECTICUT",3.99
"YOOHOO","SAMMIE'S MARTIN","MARTIN, TN",2.5
"YOOHOO","SAPIENZA","HOWARD BEACH, NY",2
"YOOHOO","SIMONS DELI","SEAMLESS, BRONX, NY",2
"YOOHOO","SOUVLAKI STOP","SEAMLESS, LEVITTOWN, NY",2.5
"YOOHOO","SOUVLAKI STOP RESTAURANT","MINEOLA, NY",2.5
"YOOHOO","SUNBAR TEMPE","TEMPE, AZ",6
"YOOHOO","SUNSHINE FOOD & DELI","STATEN ISLAND, NY",2.25
"YOOHOO","THAI HANA RESTAURANT","GRUBHUB, MELBOURNE, FL",1
"YOOHOO","THB BAGELRY & DELI TOWSON","TOWSON, MD",2.28
"YOOHOO","THE SPIRIT ROOM","ROCHESTER, NY",3
"YOOHOO","TOP HAT DELI","FORT, FL",3
"YOOHOO","TULIP CATERERS","FRANKLIN SQUARE, NY",1.6
"YOOHOO","TWINS DELI & GRILL","HARTSDALE, NY",2.5
"YOOHOO","W.F MILANO PIZZERIA ITALIAN RESTAURANT","GRUBHUB, PEARL RIVER, NY",2.75
"YOOHOO","ZEE BAGELS","SEAMLESS, BROOKLYN, NY",2
"YOOHOO     15.5 OZ","SAL & GINO'S DELI AND CATERING","SEAMLESS, BELLEROSE, NY",3
"YOOHOO  CHOCOLATE DRINK","HILLTOP DELI & PIZZA","GRUBHUB, NEW CITY, NY",2.59
"YOOHOO (CAN)","SHUG'S BAGELS","DALLAS, TX",2
"YOOHOO (GLASS BOTTLE)","SHUG'S BAGELS","DALLAS, TX",3
"YOOHOO (SIZE)","SOFIA's PIZZA & RESTAURANT","212 HARRISON AVENUE, DOORDASH, HARRISON, NY",2
"YOOHOO - REGULAR","ANTHONYS PIZZERIA AND DELI","CHESHIRE, CT",2
"YOOHOO 15.5 OZ BOTTLE","ALL AMERICAN BAGEL & BARISTA COMPANY","SEAMLESS, HOWARD BEACH, NY",2.5
"YOOHOO 15.5OZ","NEWS STAND DELI","GRUBHUB, MELVILLE, NY",2.59
"YOOHOO BOTTLE","BLUE MOON DELI & GROCERY","SEAMLESS, NEW YORK, NY",2.99
"YOOHOO BOTTLE","FINN'S DELI","SEAMLESS, MASSAPEQUA, NY",2.99
"YOOHOO BOTTLE","POP'S GOURMET DELI","STATEN ISLAND, NY",2
"YOOHOO CAN","GRILL & HEIGHT DELI","SEAMLESS, NEW YORK, NY",1
"YOOHOO CAN","POP'S GOURMET DELI","STATEN ISLAND, NY",1
"YOOHOO CANDY BAR","RYE RIDGE DELI - STAMFORD","UBEREATS, STAMFORD, CONNECTICUT",3.99
"YOOHOO CARTON","BLUE MOON DELI & GROCERY","SEAMLESS, NEW YORK, NY",1.25
"YOOHOO CHOCOLATE","PORT GOURMET DELI","SEAMLESS, NEW YORK, NY",2.99
"YOOHOO CHOCOLATE DRINK","7TH AVENUE CAFE","NEW YORK, NY",3.5
"YOOHOO CHOCOLATE DRINK","BAGELS & DESSERTS LAND","ALLSTON, MA",4.99
"YOOHOO CHOCOLATE DRINK","HILLTOP DELI & PIZZA","UBEREATS, NEW CITY, NY",2.59
"YOOHOO CHOCOLATE DRINK","JUST WINGS FROM THE KITCHEN OF PIZZA DAYS","GRUBHUB, ALLSTON, MA",4.99
"YOOHOO CHOCOLATE DRINK","LA TRADICIONAL MICHOACANA ICE CREAM SHOP","GRUBHUB, MONTCLAIR, CA",2
"YOOHOO CHOCOLATE DRINK","OMG PIZZA AND PASTA","BRONX, NY",1
"YOOHOO CHOCOLATE DRINK","RAY'S SUPER DELI","SEAMLESS, NEW YORK, NY",3
"YOOHOO CHOCOLATE DRINK","ROMA RESTAURANT & PIZZA","140 FRANKLIN TURNPIKE, DOORDASH, WALDWICK, NJ",2.5
"YOOHOO CHOCOLATE DRINK","THE BOURGEOIS PIG CAFE","UBEREATS, CHICAGO, IL",2.75
"YOOHOO CHOCOLATE DRINK","ZEE'S GOURMET DELI","SEAMLESS, COLLEGE POINT, NY",2.75
"YOOHOO CHOCOLATE DRINK - 15OZ BOTTLE (1)","QUICKSIP","PHILADELPHIA, PA",2.95
"YOOHOO CHOCOLATE DRINK 15.5 FL OZ","DELIGHT DELI & GROCERY","SEAMLESS, SUNNYSIDE, NY",2.99
"YOOHOO CHOCOLATE DRINK 15.5OZ","7-ELEVEN (2101 FERN ST)","UBEREATS, SAN DIEGO, CA",2.29
"YOOHOO CHOCOLATE DRINK 15.5OZ","7-ELEVEN (823 CONGRESS)","UBEREATS, AUSTIN, TX",2.29
"YOOHOO CHOCOLATE MILK","7 BROTHERS FAMOUS DELI","SEAMLESS, NEW YORK, NY",2.99
"YOOHOO CHOCOLATE MILK","BAGEL & DELI CREATIONS","GRUBHUB, WEST BABYLON, NY",2.5
"YOOHOO CHOCOLATE MILK","BROWN PAPER BAG SANDWICH SHOPPE","PHILADELPHIA, PA",1
"YOOHOO CHOCOLATE MILK","HAMPTONS MARKETPLACE","SEAMLESS, NEW YORK, NY",3.49
"YOOHOO CHOCOLATE MILK","LONG BEACH BAGEL CAFE","SEAMLESS, LONG BEACH, NY",3.25
"YOOHOO DRINK","BROADWAY GOURMET BAGEL CAFE AND CATERER","SEAMLESS, NORTH MASSAPEQUA, NY",2.49
"YOOHOO DRINK","JJ'S DELICATESSEN","GRUBHUB, SCOTTSDALE, AZ",3.25
"YOOHOO GLASS","GRANDPA JOE'S CANDY SHOP (MIDDLETOWN)","GRUBHUB, MIDDLETOWN, OH",2.6
"YOOHOO GLASS","GRANDPA JOE'S CANDY SHOP (STROUDSBURG)","GRUBHUB, STROUDSBURG, PA",2.6
"YOOHOO GLASS","GRANDPA JOE'S CANDY SHOP (TROY)","GRUBHUB, TROY, OH",2.6
"YOOHOO GLASS 12 OZ. BOTTLE","GRANDPA JOE'S CANDY SHOP (CUYAHOGA FALLS)","GRUBHUB, CUYAHOGA FALLS, OH",2.6
"YOOHOO GLASS BOTTLE","GRILL & HEIGHT DELI","SEAMLESS, NEW YORK, NY",1.99
"YOOHOO GLASS BOTTLE","PAPACINO'S BAGELS DELI & CATERING","GRUBHUB, DEER PARK, NY",2.49
"YOOHOO GLASS BOTTLE","THE BAKER'S DOZEN","GRUBHUB, NEW WINDSOR, NY",2.5
"YOOHOO [CHOCOLATE (20OZ BOTTLE)]","UNCLE SAM'S","SHEA & 32ND ST, UBEREATS, PHOENIX, AZ",4.5
"YOOJIS APPETIZER SAMPLER","YOOJIS ASIAN CUISINE","RICHMOND, VA",12.95
"YOOJIS CRISPY CHICKEN","YOOJIS ASIAN CUISINE","RICHMOND, VA",12.5
"YOOJIS FILET MIGNON","YOOJIS ASIAN CUISINE","RICHMOND, VA",17.95
"YOOJIS FRIED RICE","YOOJIS ASIAN CUISINE","RICHMOND, VA",8.25
"YOOJIS HOUSE GARDEN SALAD","YOOJIS ASIAN CUISINE","RICHMOND, VA",3.95
"YOOJIS HOUSE SPECIAL SEAFOOD SOUP (2)","YOOJIS ASIAN CUISINE","RICHMOND, VA",6.75
"YOOJIS LO MEIN","YOOJIS ASIAN CUISINE","RICHMOND, VA",8.95
"YOOJIS POT STICKERS (6)","YOOJIS ASIAN CUISINE","RICHMOND, VA",5.95
"YOOK - GAE - JANG","MADANGSUI","FORT LEE, NJ",11.99
"YOOK - HWE","MADANGSUI","FORT LEE, NJ",20.99
"YOOK - HWE BIBIMBOB","MADANGSUI","FORT LEE, NJ",16.99
"YOOK GAE JAHNG","KOREA GARDEN RESTAURANT","UBEREATS, HOUSTON, TX",16.99
"YOOK GAE JAND","TOKYO SEOUL","SYRACUSE, NY",9.95
"YOOK GAE JANG","162-04 NORTHERN BLVD KOREAN RESTAURANT","FLUSHING, NY",8.95
"YOOK GAE JANG","BBQ GARDEN KOREAN RESTAURANT","UBEREATS, HOUSTON, TX",11.99
"YOOK GAE JANG","HAE WOON DAE","ELMHURST, NY",10.95
"YOOK GAE JANG","HWA YUAN","AUSTIN, TX",9.95
"YOOK GAE JANG","JIN JU","UBEREATS, CHICAGO, IL",13
"YOOK GAE JANG","K TOP","PHILADELPHIA, PA",11
"YOOK GAE JANG","KOJA SUSHI","JACKSONVILLE, FL",8.95
"YOOK GAE JANG","KOREAN CRISINE RESTAURANT","FLUSHING, NY",7.99
"YOOK GAE JANG","KUM GANG SAN KOREAN RESTAURANT","LITTLE NECK, NY",9.95
"YOOK GAE JANG","MIRIM JAPANESE AND KOREAN RESTAURANT","GRUBHUB, LEVITTOWN, PA",13
"YOOK GAE JANG","SEOUL GARDEN RESTAURANT","NEW YORK, NY",13.95
"YOOK GAE JANG (S)","KUM GANG SAN KOREAN RESTAURANT","LITTLE NECK, NY",12.95
"YOOK GAE JANG LUNCH","SEOUL GARDEN RESTAURANT","NEW YORK, NY",10.95
"YOOK GAE JANG LUNCH SPECIAL","SORAK GARDEN","GRUBHUB, ANNANDALE, VA",12.99
"YOOK GAE JANG SOUP","OASIS INTERNATIONAL CUISINE","GRUBHUB, MORROW, GA",15.95
"YOOK GAE JANG SOUP","SAKANA-YA","SYRACUSE, NY",4.5
"YOOK GAE JANG SOUP","SORAK GARDEN","GRUBHUB, ANNANDALE, VA",13.99
"YOOK GAE JANG SOUP","TOPOKEE","NEW YORK, NY",14
"YOOK GAE JHANG","BCD TOFU HOUSE - RESEDA","RESEDA, CA",10.95
"YOOK GAE JONG","TOKYO SEOUL","SYRACUSE, NY",11.95
"YOOK GAU JANG","SUSHI KIM","PITTSBURGH, PA",14.5
"YOOK GE JANG","KIMCHI HANA","SOUTH PLAINFIELD, NJ",13.95
"YOOK GE JANG","KOREAN GRILLE","QUINCY, MA",13.95
"YOOK GE JANG","M KAITEN SUSHI","SYRACUSE, NY",14
"YOOK GE JANG","NEW WONJO KOREAN BBQ RESTAURANT","SEAMLESS, NEW YORK, NY",15.95
"YOOK GE JANG HOT SOUP","KIMCHIHANA KOREAN JAPANESE RESTAURANT","GRUBHUB, SOUTH PLAINFIELD, NJ",21.95
"YOOK GE JANG KAL GUK SU","NEW WONJO KOREAN BBQ RESTAURANT","SEAMLESS, NEW YORK, NY",15.95
"YOOK GE JANG MEAT SOUP","KIMCHIHANA KOREAN JAPANESE RESTAURANT","GRUBHUB, SOUTH PLAINFIELD, NJ",10.95
"YOOK GYE JANG","CHUNG KI-WA","ELMHURST, NY",11.95
"YOOK HAE","GINSENG KOREAN BBQ II","LAS VEGAS, NV",38
"YOOK HOE","162-04 NORTHERN BLVD KOREAN RESTAURANT","FLUSHING, NY",21.95
"YOOK HWE","BCD TOFU HOUSE - RESEDA","RESEDA, CA",17.95
"YOOK HWE","CHUNG KI-WA","ELMHURST, NY",20.95
"YOOK HWE","HAE WOON DAE","ELMHURST, NY",21.95
"YOOK HWE","HAN WOO CHON","FLUSHING, NY",21.99
"YOOK HWE","HEE BEEN","ALEXANDRIA, VA",19.95
"YOOK HWE","KIMCHIHANA KOREAN JAPANESE RESTAURANT","GRUBHUB, SOUTH PLAINFIELD, NJ",15.95
"YOOK HWE","KOREAN CRISINE RESTAURANT","FLUSHING, NY",18.99
"YOOK HWE","KOREAN RESTAURANT","FLUSHING, NY",18.99
"YOOK HWE","KUM GANG SAN KOREAN RESTAURANT","LITTLE NECK, NY",20.95
"YOOK HWE","NEW WONJO KOREAN BBQ RESTAURANT","SEAMLESS, NEW YORK, NY",20.95
"YOOK HWE","ONDAL KOREAN RESTAURANT","FLUSHING, NY",17.95
"YOOK HWE","WOO LAE OAK","LOS ANGELES, CA",14
"YOOK HWE BAB","KIMCHIHANA KOREAN JAPANESE RESTAURANT","GRUBHUB, SOUTH PLAINFIELD, NJ",13.95
"YOOK HWE BI BIM BAP","HAE WOON DAE","ELMHURST, NY",15.95
"YOOK HWE BI BIM BOB","BCD TOFU HOUSE - RESEDA","RESEDA, CA",14.95
"YOOK HWE BI BIM BOP","CHUNG KI-WA","ELMHURST, NY",15.95
"YOOK HWE BIBIM BAP","KUM GANG SAN KOREAN RESTAURANT","LITTLE NECK, NY",16.95
"YOOK HWEA","HWA YUAN","AUSTIN, TX",17.95
"YOOK JEON","BEEWON KOREAN CUISINE","ORLANDO, FL",15.95
"YOOK JEON (8 - 10 PIECES)","GWANG YANG BBQ","LOS ANGELES, CA",32.99
"YOOK KE JANG","WOO LAE OAK","LOS ANGELES, CA",15
"YOOK KIMCHI TOFU","GINSENG KOREAN BBQ II","LAS VEGAS, NV",28
"YOOK KYE JANG","GINSENG KOREAN BBQ II","LAS VEGAS, NV",18
"YOOK WHAE","KOREA GARDEN & RESTAURANT","GRUBHUB, BLUE BELL, PA",28.95
"YOOK WHAE BIBIM BAP","KOREA GARDEN & RESTAURANT","GRUBHUB, BLUE BELL, PA",20.95
"YOOK-GAE JANG","CHOONG HWA WOON","ANNANDALE, VA",10.99
"YOOK-GAE JANG","ICHIBAN JAPANESE RESTAURANT","ALBUQUERQUE, NM",11.95
"YOOK-GAE-JANG","SODAM KOREAN RESTAURANT","GRUBHUB, ROCHESTER, NY",11.95
"YOOKAE JANG","KOREA HOUSE RESTAURANT","EL, TX",10.99
"YOOKAE-JAHNG DINNER","KABUKI FARMINGTON HILLS","GRUBHUB, FARMINGTON, MI",13.95
"YOOKE JANG","TAKAMATSU RESTAURANT","GRUBHUB, PHOENIX, AZ",13.95
"YOOKEJANG","CHOSUN GALBEE","UBEREATS, LOS ANGELES, CA",14.5
"YOOKGAE JANG","KANG SUH KOREAN - JAPANESE RESTAURANT","YONKERS, NY",8.99
"YOOKGAE JANG","KIMCHI KOREAN RESTAURANT","STATE COLLEGE, PA",13.99
"YOOKGAE JANG","KOREA GARDEN & RESTAURANT","GRUBHUB, BLUE BELL, PA",10.95
"YOOKGAE JANG","SPRING GARDEN KOREAN BBQ & JAPANESE RESTAURANT","CAMP HILL, PA",15.95
"YOOKGAEIANG","SONG'S SUSHI","DAYTON, OH",13.95
"YOOKGAEJANG","CAFE OLYMPIA","SEAMLESS, NEW YORK, NY",9.95
"YOOKGAEJANG","CAFE OLYMPIA 55","SEAMLESS, NEW YORK, NY",10.99
"YOOKGAEJANG","KAYUGA JAPANESE","GRUBHUB, BOSTON, MA",14.25
"YOOKGAEJANG","KOREA HOUSE","UBEREATS, DALLAS, TX",12.99
"YOOKGAEJANG","KOREAN RESTAURANT","FLUSHING, NY",8.99
"YOOKGAEJANG","SEORABOL KOREAN RESTAURANT","UBEREATS, PHILADELPHIA, PA",15.95
"YOOKGAEJANG SOUP","CAFE DE NOVO","UBEREATS, NEW YORK, NY",10.95
"YOOKGAL SOUP","SEORABOL KOREAN RESTAURANT","UBEREATS, PHILADELPHIA, PA",16.95
"YOOKGAL TANG","KOREA GARDEN & RESTAURANT","GRUBHUB, BLUE BELL, PA",15.95
"YOOKGYEJANG","HAN WOO CHON","FLUSHING, NY",7.99
"YOOKGYEJANG","KIM CHA YUL","FLUSHING, NY",11.95
"YOOKGYEJANG","KOREA HOUSE RESTAURANT","EL, TX",13.99
"YOOKGYEJANG","SAPPORO JAPANESE KOREAN RESTAURANT","81 UNION STREET, DOORDASH, NEWTON, MA",15.95
"YOOKHWE","KOREA HOUSE","UBEREATS, DALLAS, TX",26.99
"YOOKHWE","SEOUL GARDEN RESTAURANT","NEW YORK, NY",25.95
"YOOKHWE BIBIMBAP","SORAK GARDEN","GRUBHUB, ANNANDALE, VA",16.99
"YOOKHWE BIBIMBAP","WOO LAE OAK","LOS ANGELES, CA",18
"YOOKHWEBIBIMBAP","HAN WOO CHON","FLUSHING, NY",17.99
"YOOKKEJANG","SAKE SUSHI","ROYAL, MI",5.99
"YOOKKEJANG","TA CHAN JAPANESE CUISINE","GRUBHUB, PLYMOUTH, MI",12
"YOOKKEJANG DINNER","SAKE SUSHI","ROYAL, MI",10.99
"YOOKKEJANG LUNCH","SAKE SUSHI","ROYAL, MI",9.99
"YOOKKEJANG SOUP","WASABI KOREAN AND JAPANESE CUISINE","GRUBHUB, DETROIT, MI",10.99
"YOOKKEJANG SOUP LUNCH","WASABI KOREAN AND JAPANESE CUISINE","GRUBHUB, DETROIT, MI",10.99
"YOOKSU BULGOGI","KOREA HOUSE RESTAURANT","EL, TX",49.99
"YOOKYE-JANG PLATE","SUSHI AND SAKE","GRUBHUB, ALBUQUERQUE, NM",13.99
"YOOME A","YOO MAE JAPANESE CUISINE AND SUSHI","COLORADO SPRINGS, CO",10.99
"YOOME A FOR 1 PERSON","YOO MAE JAPANESE CUISINE AND SUSHI","COLORADO SPRINGS, CO",16.99
"YOOME B","YOO MAE JAPANESE CUISINE AND SUSHI","COLORADO SPRINGS, CO",10.99
"YOOME B FOR 1 PERSON","YOO MAE JAPANESE CUISINE AND SUSHI","COLORADO SPRINGS, CO",17.99
"YOOME C","YOO MAE JAPANESE CUISINE AND SUSHI","COLORADO SPRINGS, CO",11.99
"YOOME C FOR 2 - 3 PEOPLE","YOO MAE JAPANESE CUISINE AND SUSHI","COLORADO SPRINGS, CO",49.99
